M,P,NA,orientation
1836.0,-360.0,0.1,0
1836.0,-360.0,0.4626262626262626,0
2883.7037037037035,-269.3333333333333,0.8252525252525252,0
3351.671560846561,-224.76496598639454,1.187878787878788,0
4342.153703703703,-130.43333333333334,1.5505050505050506,0
5309.264814814815,-39.76666666666671,1.9131313131313132,0
5309.264814814815,-39.76666666666671,2.275757575757576,0
5309.264814814815,-39.76666666666671,2.6383838383838385,0
6195.783333333334,50.89999999999992,3.001010101010101,0
6195.783333333334,50.89999999999992,3.3636363636363638,0
6195.783333333334,50.89999999999992,3.7262626262626264,0
7001.709259259263,141.5666666666665,4.088888888888889,0
7001.709259259263,141.5666666666665,4.451515151515151,0
7001.709259259263,141.5666666666665,4.814141414141414,0
7727.042592592597,232.233333333333,5.1767676767676765,0
7727.042592592597,232.233333333333,5.539393939393939,0
7727.042592592597,232.233333333333,5.902020202020202,0
8371.783333333338,322.9,6.264646464646464,0
8371.783333333338,322.9,6.627272727272727,0
8371.783333333338,322.9,6.98989898989899,0
8935.931481481484,413.5666666666672,7.352525252525252,0
8935.931481481484,413.5666666666672,7.715151515151515,0
8935.931481481484,413.5666666666672,8.077777777777778,0
9419.487037037039,504.23333333333414,8.44040404040404,0
9419.487037037039,504.23333333333414,8.803030303030303,0
9419.487037037039,504.23333333333414,9.165656565656565,0
9822.450000000004,594.9000000000007,9.528282828282828,0
9822.450000000004,594.9000000000007,9.89090909090909,0
9822.450000000004,594.9000000000007,10.253535353535353,0
10144.820370370377,685.5666666666671,10.616161616161616,0
10144.820370370377,685.5666666666671,10.978787878787879,0
10144.820370370377,685.5666666666671,11.341414141414141,0
10349.697138395846,781.1534679669746,11.704040404040404,0
10271.288755882955,791.6079189686923,12.066666666666666,0
10197.455523198945,801.4523499932277,12.429292929292929,0
10288.993535481157,901.4053063802896,12.791919191919192,0
10223.186235890349,910.1796129923971,13.154545454545454,0
10105.867864793512,923.725227918098,13.517171717171717,0
9951.50166533246,940.6752419765655,13.87979797979798,0
9885.588691883373,1047.428794326239,14.242424242424242,0
9746.358248354862,1062.716843027408,14.605050505050505,0
9613.874157806067,1077.2641157151195,14.967676767676767,0
9487.657681213534,1181.78984647822,15.33030303030303,0
9367.274329633447,1195.0084105732883,15.692929292929293,0
9252.328867102393,1207.6298731257164,16.055555555555557,0
9061.86838316722,1310.3604651162723,16.41818181818182,0
8956.748890427178,1321.9029976524334,16.780808080808082,0
8856.076474978401,1332.9572236624963,17.143434343434343,0
8598.389596997036,1434.2201546361925,17.506060606060608,0
8505.8047055252,1444.3863387978058,17.868686868686872,0
8416.902896333648,1454.1481060815836,18.231313131313133,0
8089.690904920573,1554.1957844415365,18.593939393939394,0
8007.525288577866,1563.2178913340686,18.956565656565658,0
7928.444212260993,1571.901303635529,19.319191919191923,0
6540.873325635106,1802.8025404156926,19.681818181818183,0
6495.5311529933515,1807.12084257205,20.044444444444444,0
6451.800408355199,1811.285675394732,20.40707070707071,0
6006.6337251024015,1905.9717439937615,20.769696969696973,0
5965.87841890215,1909.8532017271193,21.132323232323234,0
5926.4982212475625,1913.6036967418415,21.494949494949495,0
5404.86913571689,2007.8964138823274,21.85757575757576,0
5368.038300283191,2011.4041124950606,22.220202020202024,0
3935.531481481481,2147.8333333333185,22.582828282828284,0
3371.3833333333355,2238.4999999999827,22.945454545454545,0
3371.3833333333355,2238.4999999999827,23.30808080808081,0
3371.3833333333355,2238.4999999999827,23.670707070707074,0
2726.642592592597,2329.166666666647,24.033333333333335,0
2726.642592592597,2329.166666666647,24.395959595959596,0
2726.642592592597,2329.166666666647,24.75858585858586,0
2001.3092592592648,2419.8333333333126,25.121212121212125,0
2001.3092592592648,2419.8333333333126,25.483838383838386,0
2001.3092592592648,2419.8333333333126,25.846464646464646,0
1195.3833333333364,2510.4999999999764,26.20909090909091,0
1195.3833333333364,2510.4999999999764,26.571717171717175,0
1195.3833333333364,2510.4999999999764,26.934343434343436,0
308.8648148148163,2601.166666666642,27.296969696969697,0
308.8648148148163,2601.166666666642,27.65959595959596,0
308.8648148148163,2601.166666666642,28.022222222222226,0
-658.246296296296,2691.8333333333076,28.384848484848487,0
-658.246296296296,2691.8333333333076,28.747474747474747,0
-658.246296296296,2691.8333333333076,29.110101010101012,0
-1705.9499999999991,2782.4999999999727,29.472727272727276,0
-1705.9499999999991,2782.4999999999727,29.835353535353537,0
-1705.9499999999991,2782.4999999999727,30.197979797979798,0
-1705.9499999999991,2782.4999999999727,30.560606060606062,0
-1705.9499999999991,2782.4999999999727,30.923232323232327,0
-1705.9499999999991,2782.4999999999727,31.285858585858588,0
-1705.9499999999991,2782.4999999999727,31.64848484848485,0
-1705.9499999999991,2782.4999999999727,32.01111111111111,0
-1705.9499999999991,2782.4999999999727,32.37373737373738,0
-1705.9499999999991,2782.4999999999727,32.73636363636364,0
-1705.9499999999991,2782.4999999999727,33.0989898989899,0
-1705.9499999999991,2782.4999999999727,33.46161616161616,0
-1705.9499999999991,2782.4999999999727,33.82424242424243,0
-1705.9499999999991,2782.4999999999727,34.186868686868685,0
-1705.9499999999991,2782.4999999999727,34.54949494949495,0
-1705.9499999999991,2782.4999999999727,34.912121212121214,0
-1705.9499999999991,2782.4999999999727,35.27474747474748,0
-1705.9499999999991,2782.4999999999727,35.63737373737374,0
-1705.9499999999991,2782.4999999999727,36.0,0
1836.0,-360.0,0.1,180
1836.0,-360.0,0.4626262626262626,180
788.2962962962961,-269.3333333333333,0.8252525252525252,180
-147.6394179894151,-180.19659863945606,1.187878787878788,180
-2128.6037037037036,8.466666666666669,1.5505050505050506,180
-3095.7148148148144,99.13333333333321,1.9131313131313132,180
-3095.7148148148144,99.13333333333321,2.275757575757576,180
-3095.7148148148144,99.13333333333321,2.6383838383838385,180
-4280.023976214518,229.50541905082437,3.001010101010101,180
-4533.17927927928,263.2594594594592,3.3636363636363638,180
-4737.062284268546,290.4438601246949,3.7262626262626264,180
-5710.708172302739,403.4731884057966,4.088888888888889,180
-5851.102758238159,422.1924665305192,4.451515151515151,180
-6871.659259259262,558.2666666666663,4.814141414141414,180
-7596.992592592596,648.9333333333332,5.1767676767676765,180
-7596.992592592596,648.9333333333332,5.539393939393939,180
-7596.992592592596,648.9333333333332,5.902020202020202,180
-8241.733333333339,739.6,6.264646464646464,180
-8241.733333333339,739.6,6.627272727272727,180
-8241.733333333339,739.6,6.98989898989899,180
-8805.881481481483,830.2666666666672,7.352525252525252,180
-8805.881481481483,830.2666666666672,7.715151515151515,180
-8805.881481481483,830.2666666666672,8.077777777777778,180
-9289.43703703704,920.9333333333343,8.44040404040404,180
-9289.43703703704,920.9333333333343,8.803030303030303,180
-9289.43703703704,920.9333333333343,9.165656565656565,180
-9692.400000000005,1011.6000000000006,9.528282828282828,180
-9692.400000000005,1011.6000000000006,9.89090909090909,180
-9692.400000000005,1011.6000000000006,10.253535353535353,180
-10014.770370370377,1102.2666666666667,10.616161616161616,180
-10014.770370370377,1102.2666666666667,10.978787878787879,180
-10014.770370370377,1102.2666666666667,11.341414141414141,180
-10256.548148148155,1192.9333333333332,11.704040404040404,180
-10256.548148148155,1192.9333333333332,12.066666666666666,180
-10256.548148148155,1192.9333333333332,12.429292929292929,180
-10417.733333333337,1283.5999999999983,12.791919191919192,180
-10417.733333333337,1283.5999999999983,13.154545454545454,180
-10390.212379813684,1286.221043192346,13.517171717171717,180
-10342.540465274244,1290.7612255294357,13.87979797979798,180
-10377.888691883376,1385.7368794326208,14.242424242424242,180
-10334.891054911335,1389.8318924775767,14.605050505050505,180
-10293.976850477151,1393.7284833760707,14.967676767676767,180
-10254.998232705924,1488.1073993542805,15.33030303030303,180
-10217.821021188545,1491.6480861654597,15.692929292929293,180
-10182.323157759838,1495.0288350634319,16.055555555555557,180
-10067.800775193802,1588.9269102989958,16.41818181818182,180
-10035.337402435847,1592.0186600854674,16.780808080808082,180
-10004.247391782548,1594.9796134810201,17.143434343434343,180
-9813.26021323384,1688.484565229925,17.506060606060608,180
-9784.667820279303,1691.2076502732143,17.868686868686872,180
-9757.212849793676,1693.8224093670833,18.231313131313133,180
-9489.05097662853,1787.0018470230218,18.593939393939394,180
-9463.676300993282,1789.4184827978072,18.956565656565658,180
-9439.254203895425,1791.7443968071273,19.319191919191923,180
-9093.36166281756,1884.6512702078392,19.681818181818183,180
-9070.690576496683,1886.8104212860178,20.044444444444444,180
-9048.825204177607,1888.8928376973588,20.40707070707071,180
-8624.760381069726,1981.5692053302064,20.769696969696973,180
-8604.3827279696,1983.5099341968853,21.132323232323234,180
-8584.692629142306,1985.3851817042464,21.494949494949495,180
-8082.100308599189,2077.864873607822,21.85757575757576,180
-8063.6848908823395,2079.6187229141888,22.220202020202024,180
-7347.431481481484,2147.8333333333176,22.582828282828284,180
-6783.28333333334,2238.4999999999823,22.945454545454545,180
-6783.28333333334,2238.4999999999823,23.30808080808081,180
-6783.28333333334,2238.4999999999823,23.670707070707074,180
-6138.542592592595,2329.166666666647,24.033333333333335,180
-6138.542592592595,2329.166666666647,24.395959595959596,180
-6138.542592592595,2329.166666666647,24.75858585858586,180
-5413.209259259261,2419.833333333312,25.121212121212125,180
-5413.209259259261,2419.833333333312,25.483838383838386,180
-5413.209259259261,2419.833333333312,25.846464646464646,180
-4607.283333333332,2510.499999999977,26.20909090909091,180
-4607.283333333332,2510.499999999977,26.571717171717175,180
-4607.283333333332,2510.499999999977,26.934343434343436,180
-3720.764814814812,2601.1666666666424,27.296969696969697,180
-3720.764814814812,2601.1666666666424,27.65959595959596,180
-3720.764814814812,2601.1666666666424,28.022222222222226,180
-2753.6537037037015,2691.833333333307,28.384848484848487,180
-2753.6537037037015,2691.833333333307,28.747474747474747,180
-2753.6537037037015,2691.833333333307,29.110101010101012,180
-1705.9499999999994,2782.4999999999727,29.472727272727276,180
-1705.9499999999994,2782.4999999999727,29.835353535353537,180
-1705.9499999999994,2782.4999999999727,30.197979797979798,180
-1705.9499999999994,2782.4999999999727,30.560606060606062,180
-1705.9499999999994,2782.4999999999727,30.923232323232327,180
-1705.9499999999994,2782.4999999999727,31.285858585858588,180
-1705.9499999999994,2782.4999999999727,31.64848484848485,180
-1705.9499999999994,2782.4999999999727,32.01111111111111,180
-1705.9499999999994,2782.4999999999727,32.37373737373738,180
-1705.9499999999994,2782.4999999999727,32.73636363636364,180
-1705.9499999999994,2782.4999999999727,33.0989898989899,180
-1705.9499999999994,2782.4999999999727,33.46161616161616,180
-1705.9499999999994,2782.4999999999727,33.82424242424243,180
-1705.9499999999994,2782.4999999999727,34.186868686868685,180
-1705.9499999999994,2782.4999999999727,34.54949494949495,180
-1705.9499999999994,2782.4999999999727,34.912121212121214,180
-1705.9499999999994,2782.4999999999727,35.27474747474748,180
-1705.9499999999994,2782.4999999999727,35.63737373737374,180
-1705.9499999999994,2782.4999999999727,36.0,180
